observation_date,CPALTT01USM657N,CORESTICKM159SFRBATL,CPILFESL_PCH,PCEPI_PCH,CPIAUCSL_PCH
1/1/1948,,,,,7.7
1/1/1949,,,,,-1
1/1/1950,,,,,1.1
1/1/1951,,,,,7.9
1/1/1952,,,,,2.3
1/1/1953,,,,,0.8
1/1/1954,,,,,0.4
1/1/1955,,,,,-0.3
1/1/1956,,,,,1.5
1/1/1957,,,,,3.4
1/1/1958,,,2.3,,2.7
1/1/1959,,,2,,0.9
1/1/1960,0.112996305,,1.5,1.6,1.5
1/1/1961,0.056021314,,1.2,1,1.1
1/1/1962,0.11055984,,1.3,1.2,1.2
1/1/1963,0.136168486,,1.3,1.2,1.3
1/1/1964,0.080732157,,1.5,1.4,1.3
1/1/1965,0.159071452,,1.3,1.4,1.6
1/1/1966,0.284144057,,2.5,2.5,3
1/1/1967,0.2498936,,3.5,2.5,2.8
1/1/1968,0.385147082,4.611747217,4.7,3.9,4.2
1/1/1969,0.502436044,6.377656962,5.8,4.5,5.4
1/1/1970,0.452919736,7.080052368,6.2,4.7,5.9
1/1/1971,0.268429508,5.132944894,4.7,4.2,4.2
1/1/1972,0.279611101,3.571219525,3.1,3.4,3.3
1/1/1973,0.698874493,3.610367813,3.5,5.4,6.3
1/1/1974,0.974543157,8.828659882,8.3,10.4,11
1/1/1975,0.56072166,9.958238616,9.2,8.3,9.1
1/1/1976,0.396769931,7.069285691,6.6,5.5,5.8
1/1/1977,0.542196482,6.707589454,6.3,6.5,6.5
1/1/1978,0.72228652,8.095768443,7.3,7,7.6
1/1/1979,1.045637832,10.59565019,9.7,8.9,11.3
1/1/1980,0.988318574,13.88719627,12.4,10.8,13.5
1/1/1981,0.715138146,10.78984038,10.5,9,10.4
1/1/1982,0.314644778,7.684126987,7.4,5.6,6.2
1/1/1983,0.310765204,3.705690905,3.9,4.3,3.2
1/1/1984,0.323407613,4.833565974,5.1,3.8,4.4
1/1/1985,0.311222063,4.930157862,4.4,3.5,3.5
1/1/1986,0.091425089,5.001338705,4,2.2,1.9
1/1/1987,0.362390723,4.319637529,3.9,3.1,3.6
1/1/1988,0.361142253,4.586414374,4.4,3.9,4.1
1/1/1989,0.379401107,4.78070343,4.5,4.4,4.8
1/1/1990,0.495608388,5.455351341,5,4.4,5.4
1/1/1991,0.251941721,4.949347124,4.9,3.3,4.2
1/1/1992,0.238669889,3.785416475,3.7,2.7,3
1/1/1993,0.226317642,3.50752614,3.3,2.5,3
1/1/1994,0.220302127,3.272151669,2.8,2.1,2.6
1/1/1995,0.209242784,3.318259542,3,2.1,2.8
1/1/1996,0.272877783,3.09751488,2.7,2.1,2.9
1/1/1997,0.14087581,2.757137044,2.4,1.7,2.3
1/1/1998,0.133377077,2.611365655,2.3,0.8,1.5
1/1/1999,0.221223693,2.180331925,2.1,1.5,2.2
1/1/2000,0.278295689,2.689386083,2.4,2.5,3.4
1/1/2001,0.128975069,3.234150692,2.7,2,2.8
1/1/2002,0.19620164,3.235956558,2.3,1.3,1.6
1/1/2003,0.155832797,2.33001235,1.5,2.1,2.3
1/1/2004,0.267795737,2.2195946,1.8,2.5,2.7
1/1/2005,0.281658679,2.314240308,2.1,2.9,3.4
1/1/2006,0.210173829,2.927103742,2.5,2.8,3.2
1/1/2007,0.33440851,2.7630326,2.3,2.6,2.9
1/1/2008,0.01154409,2.835870575,2.3,3,3.8
1/1/2009,0.224371029,1.98720835,1.7,-0.3,-0.3
1/1/2010,0.123887578,0.839635428,1,1.8,1.6
1/1/2011,0.244230445,1.465280561,1.7,2.5,3.1
1/1/2012,0.144636543,2.170778667,2.1,1.9,2.1
1/1/2013,0.124656111,1.944966442,1.8,1.4,1.5
1/1/2014,0.063497964,1.97728875,1.8,1.5,1.6
1/1/2015,0.06115336,2.167317292,1.8,0.2,0.1
1/1/2016,0.171469189,2.565157442,2.2,1,1.3
1/1/2017,0.174315793,2.259383083,1.8,1.8,2.1
1/1/2018,0.15816607,2.41924275,2.1,2.1,2.4
1/1/2019,0.188681796,2.52713325,2.2,1.5,1.8
1/1/2020,0.113321114,2.224296917,1.7,1.1,1.2
1/1/2021,0.568538213,2.439664083,3.6,4,4.7
1/1/2022,#N/A,#N/A,#N/A,#N/A,#N/A
