observation_date,HUNT601PCPI,ANCH202PCPI,PHOE004PCPI,LRSPCPI,LALBA906PCPI,DENV708PCPI,BRID909PCPI,PHIL942PCPI,JACK212PCPI,ATLA013PCPI,UHON915PCPI,BOIS216PCPI,CHIC917PCPI,INDI918PCPI,DESM719PCPI,WICH620PCPI,LOIPCPI,NEWO322PCPI,PORT723PCPI,BALT524PCPI,BOST625PCPI,DETR826PCPI,MINN427PCPI,JACK128PCPI,KANS129PCPI,BILL730PCPI,OMAH531PCPI,LASV832PCPI,MANC933PCPI,NJPCPI,ALBU735PCPI,NEWY636PCPI,CHAR737PCPI,FARG038PCPI,COLU139PCPI,OKLA440PCPI,PORT941PCPI,PHIL942PCPI,PROV244PCPI,CHAR745PCPI,SIOU646PCPI,NASH947PCPI,HOUS448PCPI,SALT649PCPI,BURL450PCPI,VIRG251PCPI,SEAT653PCPI,CHAR654PCPI,MILW355PCPI,CHEY956PCPI,HUNT601PCPI_YOY,ANCH202PCPI_YOY,PHOE004PCPI_YOY,LRSPCPI_YOY,LALBA906PCPI_YOY,DENV708PCPI_YOY,BRID909PCPI_YOY,PHIL942PCPI_YOY,JACK212PCPI_YOY,ATLA013PCPI_YOY,UHON915PCPI_YOY,BOIS216PCPI_YOY,CHIC917PCPI_YOY,INDI918PCPI_YOY,DESM719PCPI_YOY,WICH620PCPI_YOY,LOIPCPI_YOY,NEWO322PCPI_YOY,PORT723PCPI_YOY,BALT524PCPI_YOY,BOST625PCPI_YOY,DETR826PCPI_YOY,MINN427PCPI_YOY,JACK128PCPI_YOY,KANS129PCPI_YOY,BILL730PCPI_YOY,OMAH531PCPI_YOY,LASV832PCPI_YOY,MANC933PCPI_YOY,NJPCPI_YOY,ALBU735PCPI_YOY,NEWY636PCPI_YOY,CHAR737PCPI_YOY,FARG038PCPI_YOY,COLU139PCPI_YOY,OKLA440PCPI_YOY,PORT941PCPI_YOY,PHIL942PCPI_YOY,PROV244PCPI_YOY,CHAR745PCPI_YOY,SIOU646PCPI_YOY,NASH947PCPI_YOY,HOUS448PCPI_YOY,SALT649PCPI_YOY,BURL450PCPI_YOY,VIRG251PCPI_YOY,SEAT653PCPI_YOY,CHAR654PCPI_YOY,MILW355PCPI_YOY,CHEY956PCPI_YOY
1/1/1969,3657,6185,3842,3386,4820,4315,5885,4334,3708,3826,5191,3673,4698,4075,4063,3881,3750,3511,3704,4178,4453,4503,4441,2884,4069,3564,3988,4762,4111,4581,3303,4958,3378,3653,3834,3833,4179,4334,3888,3377,3517,3456,3877,3534,3559,3957,4660,3229,4314,4035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1970,3962,6783,4225,3635,5062,4756,6130,4599,4118,4133,5828,4042,4945,4164,4373,4053,3972,3750,3985,4497,4770,4612,4711,3151,4346,3893,4275,5176,4245,4909,3702,5290,3585,3831,4061,4144,4460,4599,4165,3801,3740,3629,4240,3908,3834,4172,4758,3607,4570,4462,0.083401695,0.09668553,0.099687663,0.073538098,0.050207469,0.102201622,0.041631266,0.061144439,0.110571737,0.08024046,0.122712387,0.100462837,0.052575564,0.021840491,0.076298302,0.044318475,0.0592,0.068071774,0.075863931,0.076352322,0.071187963,0.024206085,0.060797118,0.09257975,0.068075694,0.092312009,0.071965898,0.086938261,0.032595476,0.071600087,0.120799273,0.066962485,0.061278863,0.048727074,0.059207094,0.08113749,0.067240967,0.061144439,0.071244856,0.125555227,0.063406312,0.05005787,0.093629095,0.105829089,0.077268896,0.054334091,0.021030043,0.117064107,0.059341678,0.10582404
1/1/1971,4335,7080,4579,3989,5236,5241,6435,4872,4475,4436,6202,4322,5241,4506,4627,4324,4201,3983,4202,4838,5064,4946,4982,3430,4695,4188,4521,5402,4328,5229,4021,5617,3846,4123,4378,4479,4785,4872,4389,4011,4067,3895,4513,4203,4048,4508,4873,3884,4857,4812,0.094144372,0.043785935,0.083786982,0.09738652,0.034373765,0.101976451,0.049755302,0.059360731,0.086692569,0.073312364,0.064172958,0.069272637,0.059858443,0.082132565,0.058083695,0.066864051,0.057653575,0.062133333,0.054454203,0.07582833,0.06163522,0.072419775,0.057524942,0.08854332,0.080303728,0.075777036,0.05754386,0.04366306,0.019552415,0.065186392,0.086169638,0.061814745,0.072803347,0.076220308,0.078059591,0.080839768,0.072869955,0.059360731,0.053781513,0.055248619,0.087433155,0.073298429,0.064386792,0.075486182,0.05581638,0.080536913,0.024169819,0.076795121,0.062800875,0.078440161
1/1/1972,4663,7353,4970,4397,5700,5684,6959,5293,4935,4910,6509,4709,5660,4872,5110,4849,4608,4276,4562,5267,5425,5488,5354,3784,5120,4737,4886,5684,4748,5642,4499,6039,4254,4511,4759,4796,5195,5293,4734,4286,4571,4253,4881,4585,4314,4979,5219,4237,5255,5272,0.075663206,0.038559322,0.085389823,0.102281274,0.088617265,0.084525854,0.081429681,0.086412151,0.102793296,0.106853021,0.049500161,0.089541879,0.079946575,0.081225033,0.104387292,0.121415356,0.096881695,0.073562641,0.085673489,0.088673005,0.07128752,0.109583502,0.074668808,0.103206997,0.090521832,0.131088825,0.080734351,0.052202888,0.097042514,0.078982597,0.118875902,0.075129072,0.106084243,0.094106233,0.087026039,0.070774727,0.085684431,0.086412151,0.078605605,0.068561456,0.123924269,0.091912709,0.081542211,0.090887461,0.065711462,0.104480923,0.071003489,0.090885685,0.081943587,0.095594347
1/1/1973,5005,7871,5419,4901,6150,6200,7480,5758,5421,5373,7007,5214,6243,5478,5706,5402,5079,4670,4908,5782,5867,6144,5911,4280,5568,5157,5461,6212,5251,6143,4795,6480,4680,5863,5232,5210,5700,5758,5068,4634,5443,4787,5371,4955,4650,5426,5816,4671,5827,5907,0.073343341,0.070447436,0.090342052,0.114623607,0.078947368,0.09078114,0.074867079,0.08785188,0.098480243,0.094297352,0.076509448,0.107241453,0.103003534,0.124384236,0.116634051,0.114044133,0.102213542,0.092142189,0.075843928,0.097778622,0.081474654,0.119533528,0.104034367,0.131078224,0.0875,0.088663711,0.117683176,0.092892329,0.105939343,0.088798298,0.065792398,0.073025335,0.100141044,0.299711816,0.099390628,0.086321935,0.097208855,0.08785188,0.070553443,0.081194587,0.190767884,0.125558429,0.100389264,0.080697928,0.077885953,0.089777064,0.11438973,0.102430965,0.108848716,0.120447648
1/1/1974,5424,9361,5848,5364,6711,6793,8059,6289,5871,5764,7556,5733,6842,5892,6145,5994,5517,5240,5270,6349,6352,6532,6452,4713,6044,5693,5832,6594,5686,6673,5203,7020,5039,6084,5682,5766,6359,6289,5459,5189,5847,5227,6183,5463,4985,5928,6450,5192,6398,6504,0.083716284,0.189302503,0.079165898,0.094470516,0.091219512,0.095645161,0.077406417,0.092219521,0.083010515,0.072771264,0.078350221,0.099539701,0.095947461,0.075575027,0.076936558,0.109589041,0.086237448,0.122055675,0.073757131,0.098062954,0.082665758,0.063151042,0.091524277,0.101168224,0.085488506,0.103936397,0.067936275,0.061493883,0.082841364,0.086277063,0.085088634,0.083333333,0.076709402,0.037694013,0.086009174,0.10671785,0.115614035,0.092219521,0.07715075,0.11976694,0.074223774,0.091915605,0.151182275,0.102522704,0.072043011,0.092517508,0.109009629,0.111539285,0.097992106,0.101066531
1/1/1975,5770,11509,6086,5906,7304,7387,8576,6804,6403,6155,8224,6382,7315,6362,6824,6694,5877,5835,5752,6861,6819,6900,6985,4961,6684,6232,6484,7160,6080,7203,5754,7599,5398,6242,6038,6296,6953,6804,5952,5691,6468,5526,7014,5942,5509,6314,7190,5729,6974,7118,0.06379056,0.229462664,0.040697674,0.101043997,0.08836239,0.087442956,0.06415188,0.081889013,0.090614887,0.067834837,0.088406564,0.113204256,0.069131833,0.079769179,0.110496338,0.11678345,0.065252855,0.113549618,0.091461101,0.080642621,0.073520151,0.056338028,0.082610043,0.052620412,0.105890139,0.094677674,0.111796982,0.085835608,0.069293,0.079424547,0.105900442,0.082478632,0.071244295,0.025969757,0.062653995,0.091918141,0.093410914,0.081889013,0.090309581,0.09674311,0.106208312,0.057202985,0.134400776,0.087680761,0.105115346,0.06511471,0.114728682,0.103428351,0.090028134,0.094403444
1/1/1976,6337,12936,6679,6451,7962,7975,9341,7418,6782,6737,8762,6915,8009,7010,7443,7247,6428,6427,6397,7467,7345,7750,7611,5514,7306,6803,6989,7750,6718,7817,6318,8112,5995,7244,6619,6818,7656,7418,6486,6111,6710,6157,7717,6471,6067,6787,7891,6314,7558,7608,0.098266898,0.123989921,0.09743674,0.092279038,0.090087623,0.079599296,0.089202425,0.090241035,0.059191004,0.094557271,0.065418288,0.083516139,0.094873548,0.101854763,0.090709261,0.082611294,0.093755317,0.101456727,0.11213491,0.088325317,0.07713741,0.123188406,0.089620616,0.111469462,0.093058049,0.091623877,0.077884022,0.082402235,0.104934211,0.08524226,0.09801877,0.067508883,0.110596517,0.160525473,0.096223915,0.082909784,0.101107436,0.090241035,0.089717742,0.073800738,0.037414966,0.114187477,0.100228115,0.089027264,0.1012888,0.074912892,0.097496523,0.102112061,0.083739604,0.068839562
1/1/1977,6866,14126,7306,7000,8761,8778,10228,8093,7338,7435,9213,7499,8825,7749,8186,7776,7141,7045,6906,8096,7999,8744,8460,6102,8120,7553,7683,8453,7475,8554,6832,8850,6578,7239,7292,7547,8319,8093,7082,6511,7550,6788,8477,7115,6513,7373,8641,6936,8371,8233,0.083477986,0.091991342,0.093876329,0.085103085,0.10035167,0.100689655,0.094957713,0.090994877,0.081981716,0.103606947,0.051472267,0.084454085,0.101885379,0.105420827,0.099825339,0.072995722,0.110920971,0.096156838,0.079568548,0.084237311,0.089040163,0.128258065,0.111549074,0.10663765,0.111415275,0.11024548,0.099298898,0.090709677,0.112682346,0.094281694,0.081354859,0.090976331,0.097247706,-0.000690226,0.10167699,0.106922851,0.086598746,0.090994877,0.091890225,0.065455736,0.125186289,0.102484976,0.098483867,0.09952094,0.073512444,0.086341535,0.095044988,0.098511245,0.10756814,0.082150368
1/1/1978,7689,14052,8313,7845,9821,9819,11597,8916,8076,8282,10123,8330,9757,8574,9208,8781,7903,7897,7628,9023,8842,9730,9411,6842,8935,8362,8584,9590,8559,9475,7729,9757,7330,8549,8018,8495,9322,8916,7780,7209,8804,7607,9622,7906,7478,8229,9829,7648,9344,9461,0.119866006,-0.005238567,0.137831919,0.120714286,0.120990754,0.118591934,0.13384826,0.101692821,0.100572363,0.113920646,0.098773472,0.110814775,0.105609065,0.10646535,0.1248473,0.129243827,0.106707744,0.120936835,0.104546771,0.114500988,0.105388174,0.112763038,0.112411348,0.121271714,0.100369458,0.107109758,0.117271899,0.134508459,0.145016722,0.107668927,0.131293911,0.102485876,0.114320462,0.180964222,0.099561163,0.125612826,0.120567376,0.101692821,0.098559729,0.107203195,0.166092715,0.120654095,0.13507137,0.111173577,0.148165208,0.116099281,0.137484087,0.102652826,0.11623462,0.149155836
