observation_date,ALPCPI,AKPCPI,AZPCPI,ARPCPI,CAPCPI,COPCPI,CTPCPI,DEPCPI,FLPCPI,GAPCPI,HIPCPI,IDPCPI,ILPCPI,INPCPI,IAPCPI,KSPCPI,KYOPCI,LAPCPI,MEPCPI,MDPCPI,MAPCPI,MIPCPI,MNPCPI,MSPCPI,MOOPCI,MTPCPI,NEPCPI,NVPCPI,NHPCPI,NJPCPI,NMPCPI,NYPCPI,NCPCPI,NDPCPI,OHPCPI,OKPCPI,ORPCPI,PAPCPI,RIPCPI,SCPCPI,SDPCPI,TNPCPI,TXPCPI,UTPCPI,VTPCPI,VAPCPI,WAPCPI,WVPCPI,WIPCPI,WYPCPI,ALPCPI_YOY,AKPCPI_YOY,AZPCPI_YOY,ARPCPI_YOY,CAPCPI_YOY,COPCPI_YOY,CTPCPI_YOY,DEPCPI_YOY,FLPCPI_YOY,GAPCPI_YOY,HIPCPI_YOY,IDPCPI_YOY,ILPCPI_YOY,INPCPI_YOY,IAPCPI_YOY,KSPCPI_YOY,KYOPCI_YOY,LAPCPI_YOY,MEPCPI_YOY,MDPCPI_YOY,MAPCPI_YOY,MIPCPI_YOY,MNPCPI_YOY,MSPCPI_YOY,MOOPCI_YOY,MTPCPI_YOY,NEPCPI_YOY,NVPCPI_YOY,NHPCPI_YOY,NJPCPI_YOY,NMPCPI_YOY,NYPCPI_YOY,NCPCPI_YOY,NDPCPI_YOY,OHPCPI_YOY,OKPCPI_YOY,ORPCPI_YOY,PAPCPI_YOY,RIPCPI_YOY,SCPCPI_YOY,SDPCPI_YOY,TNPCPI_YOY,TXPCPI_YOY,UTPCPI_YOY,VTPCPI_YOY,VAPCPI_YOY,WAPCPI_YOY,WVPCPI_YOY,WIPCPI_YOY,WYPCPI_YOY
1929-01-01,319,,598,303,994,631,1029,1031,519,343,,499,951,605,571,526,,409,600,775,911,792,594,277,,592,584,874,688,921,405,1156,327,377,772,449,666,776,881,267,415,373,474,548,630,435,740,459,670,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-01-01,263,,518,224,889,574,927,858,468,303,,488,810,512,501,460,,353,574,721,842,658,547,197,,501,510,834,648,851,333,1042,287,308,664,365,605,717,795,239,357,321,407,494,572,387,657,407,585,582,-0.175548589,#DIV/0!,-0.133779264,-0.260726073,-0.105633803,-0.090332805,-0.099125364,-0.167798254,-0.098265896,-0.116618076,#DIV/0!,-0.022044088,-0.148264984,-0.153719008,-0.122591944,-0.125475285,#DIV/0!,-0.136919315,-0.043333333,-0.069677419,-0.075740944,-0.169191919,-0.079124579,-0.288808664,#DIV/0!,-0.153716216,-0.126712329,-0.04576659,-0.058139535,-0.076004343,-0.177777778,-0.098615917,-0.122324159,-0.183023873,-0.139896373,-0.187082405,-0.091591592,-0.076030928,-0.097616345,-0.104868914,-0.139759036,-0.139410188,-0.141350211,-0.098540146,-0.092063492,-0.110344828,-0.112162162,-0.11328976,-0.126865672,-0.133928571
1931-01-01,220,,430,207,753,472,807,776,397,254,,366,673,435,396,394,,315,492,646,766,540,457,169,,387,409,665,560,741,287,889,244,195,563,294,504,605,718,203,242,273,345,372,471,371,534,354,469,477,-0.163498099,#DIV/0!,-0.16988417,-0.075892857,-0.152980877,-0.177700348,-0.129449838,-0.095571096,-0.151709402,-0.161716172,#DIV/0!,-0.25,-0.169135802,-0.150390625,-0.209580838,-0.143478261,#DIV/0!,-0.107648725,-0.142857143,-0.104022191,-0.090261283,-0.179331307,-0.164533821,-0.14213198,#DIV/0!,-0.22754491,-0.198039216,-0.20263789,-0.135802469,-0.129259694,-0.138138138,-0.146833013,-0.149825784,-0.366883117,-0.152108434,-0.194520548,-0.166942149,-0.156206416,-0.096855346,-0.150627615,-0.322128852,-0.14953271,-0.152334152,-0.246963563,-0.176573427,-0.041343669,-0.187214612,-0.13022113,-0.198290598,-0.180412371
1932-01-01,159,,322,152,584,357,627,591,317,197,,268,489,308,293,267,,238,380,522,622,395,361,122,,334,303,557,430,593,208,686,183,178,403,214,377,455,584,156,189,194,262,304,363,286,402,257,362,375,-0.277272727,#DIV/0!,-0.251162791,-0.265700483,-0.224435591,-0.243644068,-0.223048327,-0.238402062,-0.201511335,-0.224409449,#DIV/0!,-0.267759563,-0.273402675,-0.291954023,-0.26010101,-0.322335025,#DIV/0!,-0.244444444,-0.227642276,-0.191950464,-0.187989556,-0.268518519,-0.210065646,-0.278106509,#DIV/0!,-0.136950904,-0.259168704,-0.162406015,-0.232142857,-0.199730094,-0.275261324,-0.228346457,-0.25,-0.087179487,-0.284191829,-0.272108844,-0.251984127,-0.247933884,-0.186629526,-0.231527094,-0.219008264,-0.289377289,-0.24057971,-0.182795699,-0.229299363,-0.229110512,-0.247191011,-0.274011299,-0.228144989,-0.213836478
1933-01-01,164,,309,153,550,353,591,566,289,202,,228,441,294,252,251,,226,373,475,568,348,310,127,,299,273,499,420,529,211,634,203,151,387,220,357,423,569,172,136,201,254,297,337,286,376,259,334,372,0.031446541,#DIV/0!,-0.040372671,0.006578947,-0.058219178,-0.011204482,-0.057416268,-0.042301184,-0.088328076,0.025380711,#DIV/0!,-0.149253731,-0.098159509,-0.045454545,-0.139931741,-0.059925094,#DIV/0!,-0.050420168,-0.018421053,-0.090038314,-0.08681672,-0.118987342,-0.141274238,0.040983607,#DIV/0!,-0.104790419,-0.099009901,-0.104129264,-0.023255814,-0.107925801,0.014423077,-0.075801749,0.109289617,-0.151685393,-0.039702233,0.028037383,-0.053050398,-0.07032967,-0.025684932,0.102564103,-0.28042328,0.036082474,-0.030534351,-0.023026316,-0.071625344,0,-0.064676617,0.007782101,-0.077348066,-0.008
1934-01-01,207,,362,182,605,372,661,647,348,241,,389,508,357,271,288,,263,418,532,618,454,359,167,,365,264,560,480,578,246,688,247,184,457,250,437,487,609,207,190,242,291,314,381,323,442,313,380,414,0.262195122,#DIV/0!,0.171521036,0.189542484,0.1,0.053824363,0.118443316,0.143109541,0.204152249,0.193069307,#DIV/0!,0.706140351,0.151927438,0.214285714,0.075396825,0.147410359,#DIV/0!,0.163716814,0.120643432,0.12,0.088028169,0.304597701,0.158064516,0.31496063,#DIV/0!,0.220735786,-0.032967033,0.122244489,0.142857143,0.092627599,0.165876777,0.085173502,0.216748768,0.218543046,0.180878553,0.136363636,0.224089636,0.151300236,0.07029877,0.203488372,0.397058824,0.2039801,0.145669291,0.057239057,0.130563798,0.129370629,0.175531915,0.208494208,0.137724551,0.112903226
1935-01-01,216,,416,204,665,445,715,706,378,267,,394,576,419,418,360,,289,435,558,653,532,449,174,,475,405,667,504,631,293,732,267,271,519,296,459,524,655,228,305,263,325,391,415,354,491,338,461,498,0.043478261,#DIV/0!,0.149171271,0.120879121,0.099173554,0.196236559,0.081694402,0.091190108,0.086206897,0.107883817,#DIV/0!,0.01285347,0.133858268,0.173669468,0.542435424,0.25,#DIV/0!,0.098859316,0.040669856,0.04887218,0.056634304,0.171806167,0.250696379,0.041916168,#DIV/0!,0.301369863,0.534090909,0.191071429,0.05,0.091695502,0.191056911,0.063953488,0.08097166,0.472826087,0.135667396,0.184,0.050343249,0.075975359,0.075533662,0.101449275,0.605263158,0.08677686,0.116838488,0.24522293,0.089238845,0.095975232,0.110859729,0.079872204,0.213157895,0.202898551
1936-01-01,249,,462,243,776,542,815,872,453,300,,466,654,481,391,387,,328,509,627,725,621,474,222,,478,395,845,542,715,343,819,294,238,597,322,547,608,721,256,248,303,372,463,470,394,570,391,518,552,0.152777778,#DIV/0!,0.110576923,0.191176471,0.166917293,0.217977528,0.13986014,0.235127479,0.198412698,0.123595506,#DIV/0!,0.182741117,0.135416667,0.14797136,-0.064593301,0.075,#DIV/0!,0.134948097,0.170114943,0.123655914,0.110260337,0.167293233,0.055679287,0.275862069,#DIV/0!,0.006315789,-0.024691358,0.266866567,0.075396825,0.133122029,0.170648464,0.118852459,0.101123596,-0.121771218,0.150289017,0.087837838,0.191721133,0.160305344,0.100763359,0.122807018,-0.186885246,0.152091255,0.144615385,0.184143223,0.13253012,0.11299435,0.16089613,0.156804734,0.123644252,0.108433735
1937-01-01,266,,506,253,801,534,870,955,491,312,,421,734,546,513,427,,352,514,674,742,687,538,220,,514,414,775,570,753,362,848,321,324,651,375,556,643,742,271,321,332,418,447,485,426,601,419,551,606,0.068273092,#DIV/0!,0.095238095,0.041152263,0.032216495,-0.014760148,0.067484663,0.095183486,0.08388521,0.04,#DIV/0!,-0.096566524,0.122324159,0.135135135,0.31202046,0.103359173,#DIV/0!,0.073170732,0.009823183,0.074960128,0.023448276,0.106280193,0.135021097,-0.009009009,#DIV/0!,0.075313808,0.048101266,-0.082840237,0.051660517,0.053146853,0.055393586,0.035409035,0.091836735,0.361344538,0.090452261,0.164596273,0.016453382,0.057565789,0.029126214,0.05859375,0.294354839,0.095709571,0.123655914,-0.034557235,0.031914894,0.081218274,0.054385965,0.071611253,0.063706564,0.097826087
1938-01-01,242,,479,228,779,508,779,801,466,288,,421,652,472,451,383,,347,476,644,683,574,493,196,,515,402,785,537,704,338,801,291,282,565,345,531,570,683,248,317,298,404,446,458,394,583,371,508,560,-0.090225564,#DIV/0!,-0.053359684,-0.098814229,-0.027465668,-0.048689139,-0.104597701,-0.161256545,-0.050916497,-0.076923077,#DIV/0!,0,-0.111716621,-0.135531136,-0.1208577,-0.103044496,#DIV/0!,-0.014204545,-0.073929961,-0.044510386,-0.079514825,-0.164483261,-0.083643123,-0.109090909,#DIV/0!,0.001945525,-0.028985507,0.012903226,-0.057894737,-0.065073041,-0.066298343,-0.055424528,-0.093457944,-0.12962963,-0.132104455,-0.08,-0.044964029,-0.113530327,-0.079514825,-0.084870849,-0.012461059,-0.102409639,-0.033492823,-0.002237136,-0.055670103,-0.075117371,-0.029950083,-0.114558473,-0.078039927,-0.075907591
1939-01-01,251,,491,246,790,519,847,907,502,308,,431,710,518,468,382,,359,500,673,736,628,517,201,,530,399,864,566,757,356,837,312,316,620,348,571,609,732,275,341,310,417,460,492,431,618,390,515,586,0.037190083,#DIV/0!,0.025052192,0.078947368,0.014120668,0.021653543,0.087291399,0.132334582,0.077253219,0.069444444,#DIV/0!,0.023752969,0.088957055,0.097457627,0.037694013,-0.002610966,#DIV/0!,0.034582133,0.050420168,0.045031056,0.077598829,0.094076655,0.048681542,0.025510204,#DIV/0!,0.029126214,-0.007462687,0.100636943,0.054003724,0.075284091,0.053254438,0.04494382,0.072164948,0.120567376,0.097345133,0.008695652,0.075329567,0.068421053,0.071742313,0.108870968,0.075709779,0.040268456,0.032178218,0.031390135,0.074235808,0.093908629,0.060034305,0.051212938,0.013779528,0.046428571
1940-01-01,281,,506,257,856,548,931,1038,531,338,,459,758,552,494,425,,365,532,723,793,683,524,212,,566,440,902,586,830,377,883,323,352,664,374,611,659,767,314,357,339,438,484,519,480,667,409,548,602,0.119521912,#DIV/0!,0.030549898,0.044715447,0.083544304,0.055876686,0.099173554,0.144432194,0.057768924,0.097402597,#DIV/0!,0.064965197,0.067605634,0.065637066,0.055555556,0.112565445,#DIV/0!,0.016713092,0.064,0.074294205,0.077445652,0.087579618,0.013539652,0.054726368,#DIV/0!,0.067924528,0.102756892,0.043981481,0.035335689,0.096433289,0.058988764,0.054958184,0.03525641,0.113924051,0.070967742,0.074712644,0.070052539,0.082101806,0.047814208,0.141818182,0.046920821,0.093548387,0.050359712,0.052173913,0.054878049,0.113689095,0.079288026,0.048717949,0.06407767,0.027303754
1941-01-01,379,,649,344,1034,655,1159,1179,634,432,,594,901,726,603,556,,465,641,896,921,834,616,316,,708,548,1001,720,969,476,1012,430,521,828,436,823,786,958,415,470,441,539,600,650,614,885,500,673,793,0.348754448,#DIV/0!,0.282608696,0.338521401,0.207943925,0.195255474,0.244897959,0.13583815,0.193973635,0.278106509,#DIV/0!,0.294117647,0.188654354,0.315217391,0.220647773,0.308235294,#DIV/0!,0.273972603,0.204887218,0.239280775,0.161412358,0.221083455,0.175572519,0.490566038,#DIV/0!,0.250883392,0.245454545,0.109756098,0.228668942,0.16746988,0.262599469,0.146092865,0.33126935,0.480113636,0.246987952,0.165775401,0.346972177,0.192716237,0.249022164,0.321656051,0.316526611,0.300884956,0.230593607,0.239669421,0.252408478,0.279166667,0.326836582,0.222493888,0.22810219,0.317275748
